date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-08-10,463.0,250566.0,2.0,970515.0,10904.0,3372324.0,4144.201528276651,16051.697940723856,55776.084044299816
2020-08-11,259.0,250825.0,4.0,970519.0,22063.0,3394387.0,4148.4852227756,16051.764098167856,56140.99196603848
2020-08-12,412.0,251237.0,6.0,970525.0,27330.0,3421717.0,4155.299439507518,16051.863334333855,56593.01270216309
2020-08-13,476.0,251713.0,10.0,970535.0,25629.0,3447346.0,4163.172175343425,16052.028727943853,57016.89998522704
2020-08-14,522.0,252235.0,6.0,970541.0,24868.0,3472214.0,4171.805721785322,16052.127964109852,57428.20081457015
2020-08-15,574.0,252809.0,3.0,970544.0,25937.0,3498151.0,4181.299314999209,16052.177582192851,57857.18222082204
2020-08-16,629.0,253438.0,158.0,970702.0,22470.0,3520621.0,4191.702573068085,16054.79080123082,58228.82166248761
2020-08-17,477.0,253915.0,4.0,970706.0,21379.0,3542000.0,4199.591848264991,16054.856958674818,58582.4166613024
2020-08-18,320.0,254235.0,4.0,970710.0,32687.0,3574687.0,4204.884443784928,16054.923116118818,59123.038754302965
2020-08-19,401.0,254636.0,5.0,970715.0,41290.0,3615977.0,4211.516727545849,16055.005812923817,59805.94896998483
2020-08-20,642.0,255278.0,7.0,970722.0,49662.0,3665639.0,4222.134997307723,16055.121588450816,60627.32671595705
2020-08-21,840.0,256118.0,6.0,970728.0,44943.0,3710582.0,4236.028060547557,16055.220824616814,61370.6552173712
2020-08-22,947.0,257065.0,9.0,970737.0,46613.0,3757195.0,4251.690835414371,16055.369678865813,62141.60445165502
2020-08-23,1071.0,258136.0,3.0,970740.0,47463.0,3804658.0,4269.40449104516,16055.419296948812,62926.61214278867
2020-08-24,1209.0,259345.0,7.0,970747.0,33358.0,3838016.0,4289.400578493922,16055.53507247581,63478.3321470201
2020-08-25,953.0,260298.0,4.0,970751.0,45798.0,3883814.0,4305.162589526734,16055.60122991981,64235.80180208908
2020-08-26,876.0,261174.0,4.0,970755.0,58054.0,3941868.0,4319.651069762562,16055.667387363808,65195.97786557164
2020-08-27,1366.0,262540.0,13.0,970768.0,57640.0,3999508.0,4342.243836888292,16055.882399056807,66149.3066336003
2020-08-28,1409.0,263949.0,5.0,970773.0,65135.0,4064643.0,4365.547796537015,16055.965095861806,67226.59791232247
2020-08-29,1460.0,265409.0,9.0,970782.0,64294.0,4128937.0,4389.695263596727,16056.113950110805,68289.9795884438
2020-08-30,1444.0,266853.0,1.0,970783.0,53541.0,4182478.0,4413.578100880443,16056.130489471803,69175.51351573426
2020-08-31,1365.0,268218.0,4.0,970787.0,42583.0,4225061.0,4436.154328645174,16056.196646915803,69879.80912518887
2020-09-01,996.0,269214.0,6.0,970793.0,54395.0,4279456.0,4452.627532200978,16056.295883081802,70779.46766677315
2020-09-02,975.0,270189.0,8.0,970801.0,,,4468.753409175786,16056.4281979698,
2020-09-03,1326.0,271515.0,6.0,970807.0,,,4490.684601861525,16056.527434135798,
